#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	200	32362718	32362718.000	17459	17459.000
600	200	32362718	32362718.000	348350	348350.000
1950	800	32362718	32362718.000	19532	19532.000
1850	1400	32362718	32362718.000	21550	21550.000
2500	1200	32362718	32362718.000	19337	19337.000
1150	450	32362718	32362718.000	100718	100718.000
2250	300	32362718	32362718.000	16859	16859.000
2250	1100	32362718	32362718.000	19058	19058.000
1300	700	32362718	32362718.000	35771	35771.000
1250	300	32362718	32362718.000	49015	49015.000
600	375	32362718	32362718.000	356355	356355.000
1600	100	32362718	32362718.000	18643	18643.000
1050	400	32362718	32362718.000	146849	146849.000
2000	700	32362718	32362718.000	18982	18982.000
1200	850	32362718	32362718.000	64787	64787.000
2100	400	32362718	32362718.000	16935	16935.000
2550	500	32362718	32362718.000	18633	18633.000
2400	0	32362718	32362718.000	17098	17098.000
2050	1600	32362718	32362718.000	23923	23923.000
2100	1300	32362718	32362718.000	20614	20614.000
2200	1450	32362718	32362718.000	16947	16947.000
1950	1450	32362718	32362718.000	19247	19247.000
1150	400	32362718	32362718.000	93099	93099.000
1450	800	32362718	32362718.000	18234	18234.000
2000	1100	32362718	32362718.000	15072	15072.000
1300	750	32362718	32362718.000	36617	36617.000
1350	1125	32362718	32362718.000	27620	27620.000
1850	850	32362718	32362718.000	20130	20130.000
1800	1300	32362718	32362718.000	17601	17601.000
2400	800	32362718	32362718.000	15895	15895.000
1100	800	32362718	32362718.000	123939	123939.000
1900	1050	32362718	32362718.000	20769	20769.000
2700	1100	32362718	32362718.000	18014	18014.000
1850	700	32362718	32362718.000	18143	18143.000
2700	1000	32362718	32362718.000	16396	16396.000
1300	800	32362718	32362718.000	41071	41071.000
2600	1400	32362718	32362718.000	16968	16968.000
2100	1350	32362718	32362718.000	17900	17900.000
900	675	32362718	32362718.000	139531	139531.000
1650	1150	32362718	32362718.000	19065	19065.000
2550	400	32362718	32362718.000	22609	22609.000
1950	1400	32362718	32362718.000	18959	18959.000
1500	600	32362718	32362718.000	19943	19943.000
1600	950	32362718	32362718.000	20434	20434.000
2300	1100	32362718	32362718.000	15705	15705.000
1500	1200	32362718	32362718.000	15198	15198.000
1700	850	32362718	32362718.000	19469	19469.000
950	350	32362718	32362718.000	144016	144016.000
2000	200	32362718	32362718.000	19205	19205.000
2800	100	32362718	32362718.000	18023	18023.000
2100	1150	32362718	32362718.000	15093	15093.000
1650	1350	32362718	32362718.000	18650	18650.000
1100	875	32362718	32362718.000	126661	126661.000
900	600	32362718	32362718.000	135768	135768.000
1300	850	32362718	32362718.000	34552	34552.000
1050	550	32362718	32362718.000	148699	148699.000
1350	600	32362718	32362718.000	26614	26614.000
2000	1350	32362718	32362718.000	20739	20739.000
700	100	32362718	32362718.000	139384	139384.000
1550	900	32362718	32362718.000	17059	17059.000
1150	350	32362718	32362718.000	87822	87822.000
2500	1550	32362718	32362718.000	17936	17936.000
2350	1400	32362718	32362718.000	14322	14322.000
2100	1600	32362718	32362718.000	15315	15315.000
1500	1250	32362718	32362718.000	14833	14833.000
2500	1100	32362718	32362718.000	21598	21598.000
1400	650	32362718	32362718.000	20874	20874.000
1100	450	32362718	32362718.000	126823	126823.000
2300	300	32362718	32362718.000	19339	19339.000
2600	1200	32362718	32362718.000	18490	18490.000
2750	700	32362718	32362718.000	20100	20100.000
2150	1500	32362718	32362718.000	19011	19011.000
1800	800	32362718	32362718.000	19398	19398.000
1550	1000	32362718	32362718.000	19444	19444.000
2550	900	32362718	32362718.000	20364	20364.000
1150	650	32362718	32362718.000	88093	88093.000
2450	700	32362718	32362718.000	18122	18122.000
