#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	200	30642206	30642206.000	13122	13122.000
600	200	30642206	30642206.000	314674	314674.000
1950	800	30642206	30642206.000	20319	20319.000
2300	900	30642206	30642206.000	12797	12797.000
2500	1200	30642206	30642206.000	15907	15907.000
1150	450	30642206	30642206.000	79486	79486.000
2300	200	30642206	30642206.000	16541	16541.000
2250	300	30642206	30642206.000	15755	15755.000
2250	1100	30642206	30642206.000	18165	18165.000
1300	700	30642206	30642206.000	32101	32101.000
1250	300	30642206	30642206.000	34491	34491.000
1600	100	30642206	30642206.000	15333	15333.000
1050	400	30642206	30642206.000	119332	119332.000
2000	700	30642206	30642206.000	18343	18343.000
1200	850	30642206	30642206.000	56675	56675.000
2100	400	30642206	30642206.000	14354	14354.000
2550	500	30642206	30642206.000	13199	13199.000
2300	1900	30642206	30642206.000	16621	16621.000
2050	1600	30642206	30642206.000	15949	15949.000
2100	1300	30642206	30642206.000	12529	12529.000
2200	1450	30642206	30642206.000	18316	18316.000
1900	1700	30642206	30642206.000	17076	17076.000
1450	500	30642206	30642206.000	19880	19880.000
1450	800	30642206	30642206.000	16599	16599.000
2000	1100	30642206	30642206.000	13009	13009.000
1300	750	30642206	30642206.000	28769	28769.000
1850	850	30642206	30642206.000	16685	16685.000
1800	1300	30642206	30642206.000	13326	13326.000
2400	800	30642206	30642206.000	14308	14308.000
1100	800	30642206	30642206.000	106340	106340.000
1900	1050	30642206	30642206.000	17712	17712.000
1000	800	30642206	30642206.000	133556	133556.000
1850	700	30642206	30642206.000	16280	16280.000
1300	800	30642206	30642206.000	32592	32592.000
2600	1400	30642206	30642206.000	16208	16208.000
2100	1350	30642206	30642206.000	18863	18863.000
1650	1150	30642206	30642206.000	14346	14346.000
2550	400	30642206	30642206.000	12511	12511.000
1950	1400	30642206	30642206.000	17667	17667.000
1500	600	30642206	30642206.000	15153	15153.000
1600	950	30642206	30642206.000	16894	16894.000
1900	1775	30642206	30642206.000	13432	13432.000
2300	1100	30642206	30642206.000	17804	17804.000
1500	1200	30642206	30642206.000	15320	15320.000
1700	850	30642206	30642206.000	16961	16961.000
2200	1300	30642206	30642206.000	16415	16415.000
2000	200	30642206	30642206.000	17113	17113.000
2100	1150	30642206	30642206.000	17295	17295.000
1550	550	30642206	30642206.000	16657	16657.000
1650	1350	30642206	30642206.000	19138	19138.000
850	700	30642206	30642206.000	126532	126532.000
900	600	30642206	30642206.000	128524	128524.000
1300	850	30642206	30642206.000	35773	35773.000
1050	550	30642206	30642206.000	131542	131542.000
1300	550	30642206	30642206.000	33610	33610.000
2000	1350	30642206	30642206.000	16493	16493.000
700	575	30642206	30642206.000	117763	117763.000
700	100	30642206	30642206.000	126739	126739.000
2250	1550	30642206	30642206.000	16440	16440.000
2250	1250	30642206	30642206.000	13590	13590.000
1550	900	30642206	30642206.000	15404	15404.000
2300	1600	30642206	30642206.000	16476	16476.000
2500	1550	30642206	30642206.000	17015	17015.000
2350	1400	30642206	30642206.000	15575	15575.000
2100	1600	30642206	30642206.000	15647	15647.000
1500	1250	30642206	30642206.000	17199	17199.000
2500	1100	30642206	30642206.000	16401	16401.000
1400	1250	30642206	30642206.000	16888	16888.000
1200	1075	30642206	30642206.000	56241	56241.000
2200	1700	30642206	30642206.000	18230	18230.000
1400	650	30642206	30642206.000	17115	17115.000
1100	450	30642206	30642206.000	112765	112765.000
1950	1825	30642206	30642206.000	14184	14184.000
2300	300	30642206	30642206.000	17239	17239.000
2600	1200	30642206	30642206.000	18568	18568.000
2150	1500	30642206	30642206.000	16367	16367.000
1800	800	30642206	30642206.000	18054	18054.000
1550	1000	30642206	30642206.000	19549	19549.000
2550	900	30642206	30642206.000	15683	15683.000
1150	650	30642206	30642206.000	83430	83430.000
800	650	30642206	30642206.000	118221	118221.000
1450	1050	30642206	30642206.000	14548	14548.000
1950	100	30642206	30642206.000	16666	16666.000
800	200	30642206	30642206.000	128290	128290.000
1250	100	30642206	30642206.000	46269	46269.000
2050	1350	30642206	30642206.000	16881	16881.000
1300	300	30642206	30642206.000	30434	30434.000
1700	900	30642206	30642206.000	16058	16058.000
1900	1350	30642206	30642206.000	11278	11278.000
2150	1200	30642206	30642206.000	13548	13548.000
1200	700	30642206	30642206.000	60061	60061.000
2600	0	30642206	30642206.000	12972	12972.000
2200	1000	30642206	30642206.000	17004	17004.000
2600	1300	30642206	30642206.000	15367	15367.000
1350	950	30642206	30642206.000	24801	24801.000
2050	1200	30642206	30642206.000	16011	16011.000
2250	1650	30642206	30642206.000	16298	16298.000
2100	900	30642206	30642206.000	16565	16565.000
1600	1050	30642206	30642206.000	18741	18741.000
1200	900	30642206	30642206.000	55589	55589.000
2400	1550	30642206	30642206.000	19379	19379.000
1850	1725	30642206	30642206.000	15213	15213.000
2050	500	30642206	30642206.000	17437	17437.000
1600	300	30642206	30642206.000	15448	15448.000
1550	800	30642206	30642206.000	15488	15488.000
1600	900	30642206	30642206.000	15846	15846.000
2050	1400	30642206	30642206.000	19598	19598.000
2100	1200	30642206	30642206.000	15008	15008.000
1650	500	30642206	30642206.000	17253	17253.000
900	500	30642206	30642206.000	124871	124871.000
2450	0	30642206	30642206.000	16431	16431.000
1600	600	30642206	30642206.000	15770	15770.000
2150	200	30642206	30642206.000	14698	14698.000
1650	1400	30642206	30642206.000	17756	17756.000
1850	100	30642206	30642206.000	16002	16002.000
1900	1200	30642206	30642206.000	16223	16223.000
1950	700	30642206	30642206.000	17733	17733.000
1350	450	30642206	30642206.000	22747	22747.000
1550	1300	30642206	30642206.000	17635	17635.000
2350	1750	30642206	30642206.000	15030	15030.000
1650	1100	30642206	30642206.000	17203	17203.000
1900	1250	30642206	30642206.000	15187	15187.000
1300	600	30642206	30642206.000	32733	32733.000
1250	200	30642206	30642206.000	47760	47760.000
600	400	30642206	30642206.000	319309	319309.000
2200	100	30642206	30642206.000	15498	15498.000
2000	1750	30642206	30642206.000	21831	21831.000
1950	1450	30642206	30642206.000	18208	18208.000
2100	1800	30642206	30642206.000	15437	15437.000
1150	500	30642206	30642206.000	81816	81816.000
2450	1000	30642206	30642206.000	15596	15596.000
2500	0	30642206	30642206.000	16218	16218.000
1350	400	30642206	30642206.000	25954	25954.000
1150	400	30642206	30642206.000	81223	81223.000
2150	1700	30642206	30642206.000	20257	20257.000
750	625	30642206	30642206.000	126477	126477.000
1000	600	30642206	30642206.000	130381	130381.000
1050	500	30642206	30642206.000	126491	126491.000
2300	1450	30642206	30642206.000	19225	19225.000
2250	1400	30642206	30642206.000	15271	15271.000
1750	750	30642206	30642206.000	20482	20482.000
2050	800	30642206	30642206.000	19615	19615.000
600	450	30642206	30642206.000	313230	313230.000
2050	1250	30642206	30642206.000	15891	15891.000
1950	1650	30642206	30642206.000	18051	18051.000
1250	1125	30642206	30642206.000	41438	41438.000
2050	1700	30642206	30642206.000	18459	18459.000
2150	1600	30642206	30642206.000	16584	16584.000
1850	600	30642206	30642206.000	18578	18578.000
950	825	30642206	30642206.000	135328	135328.000
1600	800	30642206	30642206.000	16903	16903.000
1250	700	30642206	30642206.000	39681	39681.000
1850	1050	30642206	30642206.000	16562	16562.000
950	750	30642206	30642206.000	126729	126729.000
1900	1150	30642206	30642206.000	17489	17489.000
2300	800	30642206	30642206.000	12054	12054.000
1550	500	30642206	30642206.000	14035	14035.000
750	450	30642206	30642206.000	122772	122772.000
1850	1700	30642206	30642206.000	15862	15862.000
2600	1800	30642206	30642206.000	20437	20437.000
1500	850	30642206	30642206.000	15622	15622.000
2000	1250	30642206	30642206.000	18975	18975.000
1500	1150	30642206	30642206.000	16133	16133.000
2150	900	30642206	30642206.000	18103	18103.000
1450	550	30642206	30642206.000	19889	19889.000
1350	0	30642206	30642206.000	23773	23773.000
1450	850	30642206	30642206.000	18020	18020.000
1550	0	30642206	30642206.000	17625	17625.000
2000	0	30642206	30642206.000	20780	20780.000
1600	1475	30642206	30642206.000	18199	18199.000
1300	100	30642206	30642206.000	30088	30088.000
1650	1525	30642206	30642206.000	17401	17401.000
1850	1300	30642206	30642206.000	14430	14430.000
1000	400	30642206	30642206.000	129269	129269.000
1900	1550	30642206	30642206.000	18450	18450.000
2350	1900	30642206	30642206.000	18555	18555.000
2400	1400	30642206	30642206.000	18010	18010.000
2250	400	30642206	30642206.000	20573	20573.000
1600	650	30642206	30642206.000	18885	18885.000
2150	1450	30642206	30642206.000	15251	15251.000
2150	500	30642206	30642206.000	11299	11299.000
2000	1650	30642206	30642206.000	17800	17800.000
2200	1550	30642206	30642206.000	17040	17040.000
2550	1650	30642206	30642206.000	15822	15822.000
2450	300	30642206	30642206.000	17866	17866.000
2250	1300	30642206	30642206.000	15860	15860.000
1700	1400	30642206	30642206.000	14945	14945.000
2600	500	30642206	30642206.000	17998	17998.000
1700	1575	30642206	30642206.000	17120	17120.000
2000	1850	30642206	30642206.000	16082	16082.000
1700	1350	30642206	30642206.000	14543	14543.000
900	200	30642206	30642206.000	124017	124017.000
650	525	30642206	30642206.000	190779	190779.000
2400	100	30642206	30642206.000	15441	15441.000
1950	1750	30642206	30642206.000	16927	16927.000
1050	900	30642206	30642206.000	120809	120809.000
1250	450	30642206	30642206.000	45130	45130.000
2400	1650	30642206	30642206.000	17968	17968.000
2450	200	30642206	30642206.000	11613	11613.000
950	650	30642206	30642206.000	120518	120518.000
2500	500	30642206	30642206.000	16724	16724.000
2150	1000	30642206	30642206.000	13181	13181.000
1750	1300	30642206	30642206.000	17868	17868.000
1550	400	30642206	30642206.000	18271	18271.000
700	400	30642206	30642206.000	126983	126983.000
1400	1200	30642206	30642206.000	17909	17909.000
1050	700	30642206	30642206.000	131400	131400.000
1950	600	30642206	30642206.000	16036	16036.000
1400	600	30642206	30642206.000	21208	21208.000
1900	1450	30642206	30642206.000	18571	18571.000
1000	100	30642206	30642206.000	128013	128013.000
2000	300	30642206	30642206.000	17769	17769.000
2350	1000	30642206	30642206.000	17214	17214.000
1350	750	30642206	30642206.000	22184	22184.000
1450	200	30642206	30642206.000	18363	18363.000
1600	0	30642206	30642206.000	17389	17389.000
2000	900	30642206	30642206.000	17861	17861.000
2200	1500	30642206	30642206.000	13447	13447.000
800	600	30642206	30642206.000	130556	130556.000
1450	1100	30642206	30642206.000	19357	19357.000
1500	200	30642206	30642206.000	14820	14820.000
700	450	30642206	30642206.000	127840	127840.000
1250	950	30642206	30642206.000	43555	43555.000
2250	500	30642206	30642206.000	16593	16593.000
1500	800	30642206	30642206.000	19438	19438.000
1500	550	30642206	30642206.000	16472	16472.000
1500	1100	30642206	30642206.000	15313	15313.000
1950	1350	30642206	30642206.000	14122	14122.000
2150	1850	30642206	30642206.000	17307	17307.000
1950	1050	30642206	30642206.000	14766	14766.000
1150	800	30642206	30642206.000	92333	92333.000
1800	1100	30642206	30642206.000	14317	14317.000
1350	700	30642206	30642206.000	25713	25713.000
1650	1250	30642206	30642206.000	16312	16312.000
2450	100	30642206	30642206.000	15900	15900.000
1100	600	30642206	30642206.000	119374	119374.000
1500	500	30642206	30642206.000	15545	15545.000
1600	1150	30642206	30642206.000	16129	16129.000
1150	550	30642206	30642206.000	79842	79842.000
2450	800	30642206	30642206.000	17817	17817.000
1400	1100	30642206	30642206.000	17652	17652.000
2500	800	30642206	30642206.000	15503	15503.000
1200	550	30642206	30642206.000	64865	64865.000
2300	1500	30642206	30642206.000	13731	13731.000
2050	700	30642206	30642206.000	17983	17983.000
2400	500	30642206	30642206.000	14094	14094.000
1950	1300	30642206	30642206.000	18050	18050.000
1000	875	30642206	30642206.000	126951	126951.000
2050	1150	30642206	30642206.000	16133	16133.000
1550	300	30642206	30642206.000	17361	17361.000
1600	400	30642206	30642206.000	14664	14664.000
1950	400	30642206	30642206.000	19349	19349.000
1000	700	30642206	30642206.000	130651	130651.000
1350	1100	30642206	30642206.000	22915	22915.000
1800	1200	30642206	30642206.000	17863	17863.000
2400	1700	30642206	30642206.000	16691	16691.000
2100	1900	30642206	30642206.000	16040	16040.000
1350	200	30642206	30642206.000	24327	24327.000
1700	200	30642206	30642206.000	17867	17867.000
1650	600	30642206	30642206.000	16374	16374.000
1600	500	30642206	30642206.000	15019	15019.000
1200	450	30642206	30642206.000	60274	60274.000
2400	1100	30642206	30642206.000	19571	19571.000
1500	1300	30642206	30642206.000	14711	14711.000
1750	200	30642206	30642206.000	16867	16867.000
1950	500	30642206	30642206.000	15312	15312.000
1150	900	30642206	30642206.000	80709	80709.000
2500	300	30642206	30642206.000	19302	19302.000
2000	1400	30642206	30642206.000	19464	19464.000
900	0	30642206	30642206.000	119679	119679.000
1900	1750	30642206	30642206.000	15037	15037.000
1650	800	30642206	30642206.000	18245	18245.000
1550	1425	30642206	30642206.000	15738	15738.000
950	450	30642206	30642206.000	115480	115480.000
800	500	30642206	30642206.000	121720	121720.000
1850	800	30642206	30642206.000	18071	18071.000
2500	1850	30642206	30642206.000	17682	17682.000
1000	200	30642206	30642206.000	119645	119645.000
1000	850	30642206	30642206.000	128089	128089.000
2450	1800	30642206	30642206.000	16485	16485.000
750	500	30642206	30642206.000	118824	118824.000
1400	800	30642206	30642206.000	18828	18828.000
1750	1550	30642206	30642206.000	14122	14122.000
2050	100	30642206	30642206.000	19239	19239.000
2350	1700	30642206	30642206.000	16668	16668.000
1050	850	30642206	30642206.000	136360	136360.000
2250	200	30642206	30642206.000	18738	18738.000
2200	0	30642206	30642206.000	16167	16167.000
1950	0	30642206	30642206.000	13220	13220.000
1550	1150	30642206	30642206.000	15069	15069.000
1900	0	30642206	30642206.000	18841	18841.000
1950	1000	30642206	30642206.000	18862	18862.000
1850	1100	30642206	30642206.000	14928	14928.000
2450	400	30642206	30642206.000	17232	17232.000
2600	1000	30642206	30642206.000	18665	18665.000
2600	1650	30642206	30642206.000	17464	17464.000
2150	100	30642206	30642206.000	17827	17827.000
1150	850	30642206	30642206.000	87586	87586.000
2400	1200	30642206	30642206.000	17251	17251.000
2300	1650	30642206	30642206.000	20887	20887.000
1350	850	30642206	30642206.000	23797	23797.000
1950	1550	30642206	30642206.000	18720	18720.000
1750	300	30642206	30642206.000	18454	18454.000
2100	500	30642206	30642206.000	17546	17546.000
1600	1100	30642206	30642206.000	15865	15865.000
1900	1650	30642206	30642206.000	16851	16851.000
2000	1200	30642206	30642206.000	16317	16317.000
1450	0	30642206	30642206.000	20511	20511.000
2550	100	30642206	30642206.000	13164	13164.000
2100	0	30642206	30642206.000	15637	15637.000
1850	1650	30642206	30642206.000	18316	18316.000
2400	1600	30642206	30642206.000	13627	13627.000
1450	900	30642206	30642206.000	17514	17514.000
1900	1100	30642206	30642206.000	17187	17187.000
1450	1200	30642206	30642206.000	18158	18158.000
1100	300	30642206	30642206.000	113137	113137.000
1350	800	30642206	30642206.000	23201	23201.000
2350	1850	30642206	30642206.000	17211	17211.000
2350	300	30642206	30642206.000	18451	18451.000
1900	100	30642206	30642206.000	18071	18071.000
1850	900	30642206	30642206.000	16011	16011.000
2450	1550	30642206	30642206.000	19420	19420.000
2350	1300	30642206	30642206.000	12972	12972.000
1550	1250	30642206	30642206.000	14833	14833.000
1850	300	30642206	30642206.000	16668	16668.000
1300	400	30642206	30642206.000	32557	32557.000
1350	1225	30642206	30642206.000	22194	22194.000
2150	1650	30642206	30642206.000	17569	17569.000
2250	900	30642206	30642206.000	19609	19609.000
1500	400	30642206	30642206.000	17536	17536.000
1800	300	30642206	30642206.000	16027	16027.000
1500	700	30642206	30642206.000	18710	18710.000
2550	800	30642206	30642206.000	18689	18689.000
1150	950	30642206	30642206.000	81670	81670.000
1550	1050	30642206	30642206.000	15929	15929.000
1750	1000	30642206	30642206.000	20206	20206.000
1650	850	30642206	30642206.000	20223	20223.000
