#mGo	mLSP	Total	TotGenW	Counts	genWeight
1500	1000	1038012	1038012.000	111970	111970.000
1500	1200	1038012	1038012.000	111583	111583.000
2200	800	1038012	1038012.000	107550	107550.000
1900	800	1038012	1038012.000	105865	105865.000
1700	1200	1038012	1038012.000	115643	115643.000
2200	100	1038012	1038012.000	77490	77490.000
1900	100	1038012	1038012.000	80851	80851.000
1800	1300	1038012	1038012.000	106460	106460.000
1600	1100	1038012	1038012.000	111662	111662.000
1900	1000	1038012	1038012.000	108938	108938.000
