#mGo	mLSP	Total	Counts	genWeight
1800	200	6502352	3418	3418.000
600	200	6502352	85687	85687.000
1950	800	6502352	3819	3819.000
1850	1400	6502352	4736	4736.000
1150	450	6502352	18063	18063.000
1300	700	6502352	6408	6408.000
1250	300	6502352	9095	9095.000
600	375	6502352	85300	85300.000
1600	100	6502352	3696	3696.000
1050	400	6502352	25580	25580.000
2000	700	6502352	5649	5649.000
1200	850	6502352	14967	14967.000
1950	1450	6502352	4814	4814.000
1150	400	6502352	18126	18126.000
1450	800	6502352	4137	4137.000
2000	1100	6502352	4552	4552.000
1300	750	6502352	7529	7529.000
1350	1125	6502352	5446	5446.000
1850	850	6502352	5241	5241.000
1800	1300	6502352	3611	3611.000
1100	800	6502352	25748	25748.000
1900	1050	6502352	2898	2898.000
1850	700	6502352	4338	4338.000
1300	800	6502352	6426	6426.000
900	675	6502352	29249	29249.000
1650	1150	6502352	3828	3828.000
1950	1400	6502352	3400	3400.000
1500	600	6502352	2984	2984.000
1600	950	6502352	3297	3297.000
1500	1200	6502352	2024	2024.000
1700	850	6502352	3865	3865.000
950	350	6502352	29208	29208.000
2000	200	6502352	3145	3145.000
1650	1350	6502352	4081	4081.000
1100	875	6502352	25208	25208.000
900	600	6502352	24534	24534.000
1300	850	6502352	7454	7454.000
1050	550	6502352	25415	25415.000
1350	600	6502352	6600	6600.000
2000	1350	6502352	4826	4826.000
700	100	6502352	25518	25518.000
1550	900	6502352	3450	3450.000
1150	350	6502352	16313	16313.000
1500	1250	6502352	2650	2650.000
1400	650	6502352	3602	3602.000
1100	450	6502352	25508	25508.000
1800	800	6502352	2793	2793.000
1550	1000	6502352	4176	4176.000
1150	650	6502352	16122	16122.000
1450	1050	6502352	5234	5234.000
1950	100	6502352	4331	4331.000
800	200	6502352	29395	29395.000
1550	200	6502352	4174	4174.000
1300	300	6502352	6956	6956.000
1700	900	6502352	2932	2932.000
1900	1350	6502352	3349	3349.000
1200	700	6502352	11130	11130.000
1350	950	6502352	5534	5534.000
1600	1050	6502352	3508	3508.000
1200	900	6502352	13490	13490.000
1300	350	6502352	5624	5624.000
1600	300	6502352	3783	3783.000
1550	800	6502352	4066	4066.000
1600	900	6502352	3086	3086.000
1650	500	6502352	3457	3457.000
900	500	6502352	28450	28450.000
1600	600	6502352	3726	3726.000
1650	1400	6502352	4145	4145.000
1900	1200	6502352	3751	3751.000
1950	700	6502352	3613	3613.000
1350	450	6502352	5537	5537.000
1800	1400	6502352	4459	4459.000
1700	600	6502352	3159	3159.000
1900	1250	6502352	4747	4747.000
1300	600	6502352	6030	6030.000
1250	200	6502352	8623	8623.000
1650	1425	6502352	2720	2720.000
1150	500	6502352	19871	19871.000
1350	400	6502352	5421	5421.000
1450	500	6502352	2712	2712.000
1000	600	6502352	30109	30109.000
1050	500	6502352	30339	30339.000
1750	750	6502352	3137	3137.000
1850	600	6502352	4526	4526.000
1600	800	6502352	3257	3257.000
1250	700	6502352	9702	9702.000
1850	1050	6502352	4162	4162.000
1900	1150	6502352	4167	4167.000
1550	500	6502352	3211	3211.000
750	450	6502352	26912	26912.000
2000	1050	6502352	3274	3274.000
1500	850	6502352	3961	3961.000
1500	1150	6502352	3160	3160.000
1450	550	6502352	4822	4822.000
1350	0	6502352	6046	6046.000
1450	850	6502352	3620	3620.000
1550	0	6502352	2933	2933.000
2000	0	6502352	3140	3140.000
1300	100	6502352	7143	7143.000
950	725	6502352	25413	25413.000
1850	1300	6502352	4280	4280.000
1000	400	6502352	28908	28908.000
1900	1550	6502352	3076	3076.000
1600	650	6502352	4449	4449.000
1700	1400	6502352	4281	4281.000
850	300	6502352	29335	29335.000
900	200	6502352	29087	29087.000
1850	100	6502352	3488	3488.000
1250	450	6502352	10969	10969.000
900	550	6502352	27140	27140.000
950	650	6502352	28577	28577.000
1750	1300	6502352	3619	3619.000
1550	400	6502352	3346	3346.000
700	400	6502352	29159	29159.000
1050	700	6502352	28706	28706.000
1950	600	6502352	3705	3705.000
1400	600	6502352	4221	4221.000
1900	1450	6502352	3405	3405.000
1000	100	6502352	28096	28096.000
2000	300	6502352	3430	3430.000
1350	750	6502352	6395	6395.000
1450	200	6502352	4161	4161.000
1600	0	6502352	4400	4400.000
2000	900	6502352	3249	3249.000
1450	1100	6502352	3674	3674.000
1500	200	6502352	3738	3738.000
700	450	6502352	30048	30048.000
1250	950	6502352	8974	8974.000
1500	1275	6502352	3667	3667.000
1500	800	6502352	3075	3075.000
1500	1100	6502352	3550	3550.000
1950	1350	6502352	4166	4166.000
1950	1050	6502352	4505	4505.000
1150	800	6502352	20029	20029.000
1800	1100	6502352	3881	3881.000
1350	700	6502352	3723	3723.000
1650	1250	6502352	3515	3515.000
1150	925	6502352	19312	19312.000
1100	600	6502352	21817	21817.000
1500	500	6502352	2725	2725.000
1600	1150	6502352	3665	3665.000
1150	550	6502352	18399	18399.000
900	350	6502352	25797	25797.000
1200	550	6502352	11507	11507.000
1250	550	6502352	9796	9796.000
1950	1300	6502352	2734	2734.000
1550	300	6502352	3464	3464.000
1600	400	6502352	3564	3564.000
1950	400	6502352	3110	3110.000
1700	1475	6502352	3240	3240.000
1000	700	6502352	28913	28913.000
1350	1100	6502352	5908	5908.000
1800	1200	6502352	3844	3844.000
1350	200	6502352	5951	5951.000
1700	200	6502352	3724	3724.000
1650	600	6502352	4439	4439.000
1600	500	6502352	3263	3263.000
1200	450	6502352	15427	15427.000
750	525	6502352	28312	28312.000
1700	1100	6502352	4462	4462.000
1750	200	6502352	4087	4087.000
1950	500	6502352	2862	2862.000
1150	900	6502352	15312	15312.000
2000	1400	6502352	3652	3652.000
1050	825	6502352	26958	26958.000
1650	800	6502352	3240	3240.000
950	450	6502352	26762	26762.000
800	500	6502352	29705	29705.000
1850	800	6502352	3661	3661.000
1000	200	6502352	30219	30219.000
1200	975	6502352	13649	13649.000
750	500	6502352	28790	28790.000
1400	800	6502352	4137	4137.000
1450	1225	6502352	4406	4406.000
1400	500	6502352	4320	4320.000
2000	600	6502352	3768	3768.000
1950	0	6502352	3420	3420.000
1550	1150	6502352	2846	2846.000
1900	0	6502352	4453	4453.000
1950	1000	6502352	3347	3347.000
1850	1100	6502352	3441	3441.000
1150	850	6502352	20794	20794.000
1350	850	6502352	5590	5590.000
1950	1550	6502352	4837	4837.000
1750	300	6502352	4185	4185.000
1600	1100	6502352	3606	3606.000
1850	1550	6502352	3489	3489.000
1450	0	6502352	3275	3275.000
1750	1525	6502352	3622	3622.000
1450	900	6502352	4150	4150.000
1900	1100	6502352	4383	4383.000
1450	1200	6502352	5267	5267.000
1100	300	6502352	22943	22943.000
1350	800	6502352	5995	5995.000
1550	1325	6502352	3601	3601.000
1900	100	6502352	3308	3308.000
1850	900	6502352	2861	2861.000
1550	1250	6502352	4120	4120.000
1850	300	6502352	3362	3362.000
1300	400	6502352	5803	5803.000
1500	400	6502352	4888	4888.000
1800	300	6502352	3901	3901.000
1500	700	6502352	3738	3738.000
1550	1050	6502352	3724	3724.000
1750	1000	6502352	4654	4654.000
1650	850	6502352	2842	2842.000
900	450	6502352	28694	28694.000
850	350	6502352	27403	27403.000
1200	300	6502352	13844	13844.000
1600	200	6502352	2342	2342.000
1250	850	6502352	8575	8575.000
1300	450	6502352	6268	6268.000
1250	900	6502352	8875	8875.000
1650	1200	6502352	2880	2880.000
1500	750	6502352	4133	4133.000
1500	650	6502352	3712	3712.000
1400	1150	6502352	4191	4191.000
1400	550	6502352	3550	3550.000
1100	850	6502352	24317	24317.000
1850	1150	6502352	4416	4416.000
650	425	6502352	47141	47141.000
1450	1150	6502352	3693	3693.000
1650	400	6502352	3549	3549.000
950	300	6502352	26531	26531.000
600	100	6502352	74801	74801.000
1750	850	6502352	5166	5166.000
1900	400	6502352	2820	2820.000
1800	1350	6502352	4238	4238.000
1150	300	6502352	19689	19689.000
1400	1100	6502352	4457	4457.000
1650	900	6502352	3338	3338.000
1200	800	6502352	11672	11672.000
700	475	6502352	30683	30683.000
1950	900	6502352	3863	3863.000
1350	1050	6502352	4360	4360.000
1050	300	6502352	29338	29338.000
1750	1150	6502352	3495	3495.000
1300	1050	6502352	7973	7973.000
1750	1450	6502352	3247	3247.000
1600	1350	6502352	4542	4542.000
1600	1300	6502352	2332	2332.000
850	625	6502352	27097	27097.000
1650	1300	6502352	3605	3605.000
950	700	6502352	25854	25854.000
750	400	6502352	25531	25531.000
1200	100	6502352	11966	11966.000
1900	300	6502352	2787	2787.000
1800	1450	6502352	3630	3630.000
1900	500	6502352	2728	2728.000
1700	950	6502352	4164	4164.000
1300	200	6502352	6223	6223.000
2000	1550	6502352	3294	3294.000
900	400	6502352	30388	30388.000
800	450	6502352	28364	28364.000
1650	0	6502352	2960	2960.000
1400	0	6502352	3200	3200.000
1000	450	6502352	25688	25688.000
1600	750	6502352	4711	4711.000
1550	1300	6502352	2061	2061.000
1350	650	6502352	6203	6203.000
1200	950	6502352	13443	13443.000
1400	450	6502352	3370	3370.000
1900	1000	6502352	3249	3249.000
600	350	6502352	77842	77842.000
1100	550	6502352	25198	25198.000
1700	1200	6502352	3666	3666.000
1850	200	6502352	3768	3768.000
1100	100	6502352	28195	28195.000
1300	550	6502352	6625	6625.000
950	550	6502352	28817	28817.000
1750	1200	6502352	3998	3998.000
2000	1150	6502352	4212	4212.000
1250	400	6502352	7767	7767.000
950	600	6502352	26994	26994.000
750	350	6502352	26790	26790.000
1450	650	6502352	4540	4540.000
1500	950	6502352	3823	3823.000
1250	650	6502352	10017	10017.000
1450	750	6502352	5044	5044.000
1000	775	6502352	26604	26604.000
1450	950	6502352	3334	3334.000
900	650	6502352	26641	26641.000
2000	1300	6502352	4437	4437.000
1650	100	6502352	3388	3388.000
1050	450	6502352	26077	26077.000
1550	750	6502352	3238	3238.000
2000	1500	6502352	3766	3766.000
1600	1250	6502352	2791	2791.000
950	500	6502352	26086	26086.000
1300	900	6502352	7348	7348.000
650	400	6502352	50098	50098.000
1900	600	6502352	4080	4080.000
1850	1500	6502352	4216	4216.000
1250	100	6502352	10161	10161.000
850	400	6502352	28337	28337.000
850	550	6502352	28995	28995.000
1300	1000	6502352	7123	7123.000
1700	700	6502352	3441	3441.000
1750	1350	6502352	4621	4621.000
1550	650	6502352	4534	4534.000
1900	1300	6502352	4280	4280.000
600	300	6502352	75941	75941.000
1200	750	6502352	13405	13405.000
1700	400	6502352	4111	4111.000
1000	750	6502352	26277	26277.000
1400	200	6502352	3693	3693.000
1450	300	6502352	3377	3377.000
1450	600	6502352	3426	3426.000
1500	0	6502352	3737	3737.000
800	350	6502352	30123	30123.000
1500	300	6502352	1981	1981.000
1900	200	6502352	3325	3325.000
1700	0	6502352	3444	3444.000
1500	900	6502352	4074	4074.000
1750	600	6502352	4209	4209.000
950	400	6502352	29688	29688.000
1800	1000	6502352	3212	3212.000
1800	100	6502352	3801	3801.000
1700	1300	6502352	3609	3609.000
1900	900	6502352	3122	3122.000
1000	0	6502352	28359	28359.000
1750	400	6502352	4279	4279.000
1950	1500	6502352	4457	4457.000
1200	0	6502352	14244	14244.000
1050	650	6502352	28510	28510.000
1200	600	6502352	12457	12457.000
1700	1050	6502352	3757	3757.000
1750	700	6502352	4033	4033.000
1650	300	6502352	3802	3802.000
1900	800	6502352	4026	4026.000
1700	100	6502352	3490	3490.000
1550	550	6502352	3575	3575.000
800	550	6502352	28316	28316.000
800	400	6502352	27816	27816.000
1800	850	6502352	4059	4059.000
800	100	6502352	30202	30202.000
1850	400	6502352	3297	3297.000
1600	1000	6502352	3841	3841.000
1600	700	6502352	4048	4048.000
1950	1100	6502352	3418	3418.000
1400	1000	6502352	3767	3767.000
1550	1200	6502352	2466	2466.000
1800	1550	6502352	4556	4556.000
1400	400	6502352	4268	4268.000
1950	1250	6502352	4271	4271.000
1950	200	6502352	4243	4243.000
1700	800	6502352	3132	3132.000
1750	1400	6502352	4333	4333.000
2000	1600	6502352	4022	4022.000
1700	1000	6502352	3672	3672.000
1250	800	6502352	9265	9265.000
1200	500	6502352	13955	13955.000
1900	700	6502352	5504	5504.000
1700	1150	6502352	3395	3395.000
1550	950	6502352	3472	3472.000
1300	500	6502352	5914	5914.000
1450	100	6502352	4782	4782.000
1750	500	6502352	4503	4503.000
1450	400	6502352	3847	3847.000
1850	1250	6502352	3215	3215.000
700	200	6502352	30021	30021.000
2000	1200	6502352	3702	3702.000
1000	300	6502352	25831	25831.000
1650	750	6502352	3378	3378.000
1550	1100	6502352	3344	3344.000
1600	1200	6502352	4468	4468.000
1750	1500	6502352	4646	4646.000
1050	600	6502352	29073	29073.000
1750	1250	6502352	3597	3597.000
1200	650	6502352	11605	11605.000
850	450	6502352	27674	27674.000
850	600	6502352	25766	25766.000
1250	350	6502352	7004	7004.000
650	300	6502352	47291	47291.000
1700	300	6502352	3699	3699.000
1650	700	6502352	4051	4051.000
1150	600	6502352	17686	17686.000
700	300	6502352	26667	26667.000
1500	550	6502352	3828	3828.000
1100	0	6502352	24004	24004.000
