#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	200	44775926	44775926.000	30897	30897.000
600	200	44775926	44775926.000	552100	552100.000
1950	800	44775926	44775926.000	25391	25391.000
1850	1400	44775926	44775926.000	28746	28746.000
2500	1200	44775926	44775926.000	21286	21286.000
1150	450	44775926	44775926.000	127697	127697.000
2250	300	44775926	44775926.000	18317	18317.000
2250	1100	44775926	44775926.000	31448	31448.000
1300	700	44775926	44775926.000	47349	47349.000
1250	300	44775926	44775926.000	60904	60904.000
600	375	44775926	44775926.000	550422	550422.000
1600	100	44775926	44775926.000	23342	23342.000
1050	400	44775926	44775926.000	195949	195949.000
2000	700	44775926	44775926.000	25080	25080.000
1200	850	44775926	44775926.000	90714	90714.000
2100	400	44775926	44775926.000	20172	20172.000
2550	500	44775926	44775926.000	28102	28102.000
2400	0	44775926	44775926.000	29997	29997.000
2050	1600	44775926	44775926.000	33090	33090.000
2100	1300	44775926	44775926.000	30356	30356.000
2200	1450	44775926	44775926.000	30977	30977.000
1950	1450	44775926	44775926.000	23108	23108.000
1150	400	44775926	44775926.000	129224	129224.000
1450	800	44775926	44775926.000	25932	25932.000
2000	1100	44775926	44775926.000	24355	24355.000
1300	750	44775926	44775926.000	49339	49339.000
1350	1125	44775926	44775926.000	28508	28508.000
1850	850	44775926	44775926.000	20295	20295.000
1800	1300	44775926	44775926.000	22308	22308.000
2400	800	44775926	44775926.000	21779	21779.000
1100	800	44775926	44775926.000	166804	166804.000
1900	1050	44775926	44775926.000	23592	23592.000
2700	1100	44775926	44775926.000	24402	24402.000
1850	700	44775926	44775926.000	26476	26476.000
2700	1000	44775926	44775926.000	24402	24402.000
1300	800	44775926	44775926.000	45838	45838.000
2600	1400	44775926	44775926.000	35252	35252.000
2100	1350	44775926	44775926.000	30857	30857.000
900	675	44775926	44775926.000	192589	192589.000
1650	1150	44775926	44775926.000	15493	15493.000
2550	400	44775926	44775926.000	21760	21760.000
1950	1400	44775926	44775926.000	25631	25631.000
1500	600	44775926	44775926.000	24118	24118.000
1600	950	44775926	44775926.000	22499	22499.000
2300	1100	44775926	44775926.000	17734	17734.000
1500	1200	44775926	44775926.000	24387	24387.000
1700	850	44775926	44775926.000	26869	26869.000
950	350	44775926	44775926.000	211621	211621.000
2000	200	44775926	44775926.000	26915	26915.000
2800	100	44775926	44775926.000	22718	22718.000
2100	1150	44775926	44775926.000	24323	24323.000
1650	1350	44775926	44775926.000	23642	23642.000
1100	875	44775926	44775926.000	161870	161870.000
900	600	44775926	44775926.000	202152	202152.000
1300	850	44775926	44775926.000	50378	50378.000
1050	550	44775926	44775926.000	194464	194464.000
1350	600	44775926	44775926.000	34490	34490.000
2000	1350	44775926	44775926.000	19397	19397.000
700	100	44775926	44775926.000	214441	214441.000
1550	900	44775926	44775926.000	16535	16535.000
1150	350	44775926	44775926.000	131150	131150.000
2500	1550	44775926	44775926.000	19583	19583.000
2350	1400	44775926	44775926.000	23298	23298.000
2100	1600	44775926	44775926.000	25272	25272.000
1500	1250	44775926	44775926.000	31185	31185.000
2500	1100	44775926	44775926.000	19530	19530.000
1400	650	44775926	44775926.000	23053	23053.000
1100	450	44775926	44775926.000	170233	170233.000
2300	300	44775926	44775926.000	33592	33592.000
2600	1200	44775926	44775926.000	36290	36290.000
2750	700	44775926	44775926.000	25599	25599.000
2150	1500	44775926	44775926.000	17750	17750.000
1800	800	44775926	44775926.000	20112	20112.000
1550	1000	44775926	44775926.000	20991	20991.000
2550	900	44775926	44775926.000	25354	25354.000
1150	650	44775926	44775926.000	116385	116385.000
2450	700	44775926	44775926.000	18253	18253.000
1450	1050	44775926	44775926.000	20306	20306.000
1950	100	44775926	44775926.000	22403	22403.000
800	200	44775926	44775926.000	206540	206540.000
1550	200	44775926	44775926.000	32571	32571.000
1300	300	44775926	44775926.000	40499	40499.000
2650	1600	44775926	44775926.000	35879	35879.000
1700	900	44775926	44775926.000	28212	28212.000
1900	1350	44775926	44775926.000	23647	23647.000
1200	700	44775926	44775926.000	90025	90025.000
2600	0	44775926	44775926.000	33161	33161.000
1350	950	44775926	44775926.000	44302	44302.000
2050	1200	44775926	44775926.000	31290	31290.000
2100	900	44775926	44775926.000	29528	29528.000
1600	1050	44775926	44775926.000	29389	29389.000
2750	1100	44775926	44775926.000	36437	36437.000
2650	1100	44775926	44775926.000	25022	25022.000
1200	900	44775926	44775926.000	90742	90742.000
2400	1550	44775926	44775926.000	25440	25440.000
2200	700	44775926	44775926.000	29184	29184.000
1300	350	44775926	44775926.000	55310	55310.000
1600	300	44775926	44775926.000	30387	30387.000
1550	800	44775926	44775926.000	20010	20010.000
1600	900	44775926	44775926.000	25498	25498.000
2050	1400	44775926	44775926.000	19508	19508.000
2100	1200	44775926	44775926.000	22630	22630.000
1650	500	44775926	44775926.000	21480	21480.000
900	500	44775926	44775926.000	197302	197302.000
2450	0	44775926	44775926.000	26711	26711.000
1600	600	44775926	44775926.000	18157	18157.000
2150	200	44775926	44775926.000	20307	20307.000
1650	1400	44775926	44775926.000	20403	20403.000
1900	1200	44775926	44775926.000	18845	18845.000
1950	700	44775926	44775926.000	27269	27269.000
1350	450	44775926	44775926.000	37422	37422.000
1800	1400	44775926	44775926.000	24801	24801.000
1700	600	44775926	44775926.000	23192	23192.000
2800	400	44775926	44775926.000	21711	21711.000
1900	1250	44775926	44775926.000	23814	23814.000
1300	600	44775926	44775926.000	44774	44774.000
1250	200	44775926	44775926.000	70180	70180.000
2500	200	44775926	44775926.000	26140	26140.000
1650	1425	44775926	44775926.000	28729	28729.000
2200	100	44775926	44775926.000	19909	19909.000
2650	200	44775926	44775926.000	15481	15481.000
2250	1550	44775926	44775926.000	22628	22628.000
1150	500	44775926	44775926.000	135384	135384.000
2450	1000	44775926	44775926.000	17557	17557.000
1350	400	44775926	44775926.000	40983	40983.000
1450	500	44775926	44775926.000	28919	28919.000
1000	600	44775926	44775926.000	209152	209152.000
1050	500	44775926	44775926.000	211259	211259.000
2300	1450	44775926	44775926.000	26479	26479.000
2250	1400	44775926	44775926.000	26154	26154.000
1750	750	44775926	44775926.000	26514	26514.000
2050	800	44775926	44775926.000	25626	25626.000
2050	1250	44775926	44775926.000	31241	31241.000
2150	1600	44775926	44775926.000	38153	38153.000
1850	600	44775926	44775926.000	26135	26135.000
1600	800	44775926	44775926.000	32853	32853.000
1250	700	44775926	44775926.000	58862	58862.000
1850	1050	44775926	44775926.000	25502	25502.000
2700	0	44775926	44775926.000	24328	24328.000
1900	1150	44775926	44775926.000	22101	22101.000
2300	800	44775926	44775926.000	18431	18431.000
1550	500	44775926	44775926.000	26596	26596.000
750	450	44775926	44775926.000	205445	205445.000
2200	1300	44775926	44775926.000	33646	33646.000
2000	1050	44775926	44775926.000	17971	17971.000
1500	850	44775926	44775926.000	19187	19187.000
2150	1200	44775926	44775926.000	22168	22168.000
1500	1150	44775926	44775926.000	24907	24907.000
2150	900	44775926	44775926.000	23585	23585.000
1450	550	44775926	44775926.000	25514	25514.000
1350	0	44775926	44775926.000	33321	33321.000
1450	850	44775926	44775926.000	21927	21927.000
1550	0	44775926	44775926.000	20852	20852.000
2000	0	44775926	44775926.000	22736	22736.000
1300	100	44775926	44775926.000	52638	52638.000
950	725	44775926	44775926.000	210727	210727.000
1850	1300	44775926	44775926.000	23388	23388.000
1000	400	44775926	44775926.000	194853	194853.000
1900	1550	44775926	44775926.000	31565	31565.000
2400	1400	44775926	44775926.000	15308	15308.000
2250	400	44775926	44775926.000	27784	27784.000
1600	650	44775926	44775926.000	32793	32793.000
2150	1450	44775926	44775926.000	27319	27319.000
2150	500	44775926	44775926.000	23017	23017.000
2200	1550	44775926	44775926.000	23980	23980.000
2700	900	44775926	44775926.000	24168	24168.000
2450	300	44775926	44775926.000	29570	29570.000
2250	1300	44775926	44775926.000	22638	22638.000
1700	1400	44775926	44775926.000	25458	25458.000
2750	900	44775926	44775926.000	23567	23567.000
2100	200	44775926	44775926.000	21712	21712.000
2600	500	44775926	44775926.000	22061	22061.000
2800	1200	44775926	44775926.000	18029	18029.000
850	300	44775926	44775926.000	159599	159599.000
900	200	44775926	44775926.000	204766	204766.000
2400	100	44775926	44775926.000	27119	27119.000
2100	0	44775926	44775926.000	22584	22584.000
2700	1300	44775926	44775926.000	19547	19547.000
1850	100	44775926	44775926.000	21822	21822.000
1250	450	44775926	44775926.000	65574	65574.000
2450	200	44775926	44775926.000	22931	22931.000
900	550	44775926	44775926.000	192651	192651.000
950	650	44775926	44775926.000	205995	205995.000
2150	1000	44775926	44775926.000	25596	25596.000
1750	1300	44775926	44775926.000	30380	30380.000
2700	1500	44775926	44775926.000	24523	24523.000
1550	400	44775926	44775926.000	25219	25219.000
700	400	44775926	44775926.000	221474	221474.000
2500	900	44775926	44775926.000	20435	20435.000
1050	700	44775926	44775926.000	190972	190972.000
1950	600	44775926	44775926.000	25615	25615.000
1400	600	44775926	44775926.000	25271	25271.000
1900	1450	44775926	44775926.000	22019	22019.000
