#mGo	mLSP	Total	TotGenW	Counts	genWeight
1800	200	21137386	21137386.000	9768	9768.000
600	200	21137386	21137386.000	236013	236013.000
1950	800	21137386	21137386.000	14432	14432.000
2300	900	21137386	21137386.000	6784	6784.000
2500	1200	21137386	21137386.000	10497	10497.000
1150	450	21137386	21137386.000	60726	60726.000
2300	200	21137386	21137386.000	10439	10439.000
2250	300	21137386	21137386.000	12322	12322.000
2250	1100	21137386	21137386.000	11658	11658.000
1300	700	21137386	21137386.000	20376	20376.000
1250	300	21137386	21137386.000	30491	30491.000
1600	100	21137386	21137386.000	9960	9960.000
1050	400	21137386	21137386.000	84179	84179.000
2000	700	21137386	21137386.000	10245	10245.000
1200	850	21137386	21137386.000	45577	45577.000
2100	400	21137386	21137386.000	6747	6747.000
2550	500	21137386	21137386.000	12681	12681.000
2300	1900	21137386	21137386.000	10630	10630.000
2050	1600	21137386	21137386.000	9682	9682.000
2100	1300	21137386	21137386.000	10665	10665.000
2200	1450	21137386	21137386.000	14765	14765.000
1900	1700	21137386	21137386.000	8974	8974.000
1450	500	21137386	21137386.000	8745	8745.000
1450	800	21137386	21137386.000	9464	9464.000
2000	1100	21137386	21137386.000	15535	15535.000
1300	750	21137386	21137386.000	22166	22166.000
1850	850	21137386	21137386.000	10295	10295.000
1800	1300	21137386	21137386.000	13527	13527.000
2400	800	21137386	21137386.000	13747	13747.000
1100	800	21137386	21137386.000	84023	84023.000
1900	1050	21137386	21137386.000	14980	14980.000
1000	800	21137386	21137386.000	90727	90727.000
1850	700	21137386	21137386.000	13810	13810.000
1300	800	21137386	21137386.000	21513	21513.000
2600	1400	21137386	21137386.000	12065	12065.000
2100	1350	21137386	21137386.000	12164	12164.000
1650	1150	21137386	21137386.000	15433	15433.000
2550	400	21137386	21137386.000	9659	9659.000
1950	1400	21137386	21137386.000	14776	14776.000
1500	600	21137386	21137386.000	13633	13633.000
1600	950	21137386	21137386.000	12059	12059.000
1900	1775	21137386	21137386.000	10463	10463.000
2300	1100	21137386	21137386.000	10730	10730.000
1500	1200	21137386	21137386.000	8556	8556.000
1700	850	21137386	21137386.000	10783	10783.000
2200	1300	21137386	21137386.000	10370	10370.000
2000	200	21137386	21137386.000	9441	9441.000
