WJets|KappaW
bin                |  SBin | btagHF     |   PU     |   TTVxsec     |   DLSlope     |   Wpol     |   JEC     |   btagLF     |   DLConst     |   Wxsec     |   nISR     |   TTxsec     |   lepSF
LT1_HT0_NB0_NJ5_NW0 |   |    1.000     |    1.012     |    1.000     |    1.000     |    1.106     |    1.082     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT1_HT0_NB0_NJ5_NW1i |   |    1.001     |    1.033     |    1.000     |    1.000     |    1.062     |    1.214     |    1.001     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT1_HT1i_NB0_NJ5_NW0 |   |    1.003     |    1.006     |    1.000     |    1.000     |    1.063     |    1.059     |    1.001     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT1_HT1i_NB0_NJ5_NW1i |   |    1.003     |    1.011     |    1.000     |    1.000     |    1.056     |    1.072     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.001
LT2_HT0_NB0_NJ5_NW0 |   |    1.001     |    1.011     |    1.000     |    1.000     |    1.112     |    1.065     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.002
LT2_HT0_NB0_NJ5_NW1i |   |    1.000     |    1.036     |    1.000     |    1.000     |    1.050     |    1.140     |    1.001     |    1.000     |    1.000     |    1.000     |    1.000     |    1.001
LT2_HT1i_NB0_NJ5_NW0 |   |    1.004     |    1.002     |    1.000     |    1.000     |    1.046     |    1.075     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.002
LT2_HT1i_NB0_NJ5_NW1i |   |    1.004     |    1.004     |    1.000     |    1.000     |    1.045     |    1.052     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT3_HT0_NB0_NJ5_NW0 |   |    1.000     |    1.011     |    1.000     |    1.000     |    1.123     |    1.046     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.001
LT3_HT0_NB0_NJ5_NW1i |   |    1.001     |    1.013     |    1.000     |    1.000     |    1.062     |    1.424     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.001
LT3_HT1_NB0_NJ5_NW0 |   |    1.001     |    1.001     |    1.000     |    1.000     |    1.081     |    1.039     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT3_HT1_NB0_NJ5_NW1i |   |    1.002     |    1.018     |    1.000     |    1.000     |    1.052     |    1.102     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT3_HT3i_NB0_NJ5_NW0 |   |    1.004     |    1.013     |    1.000     |    1.000     |    1.038     |    1.075     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT3_HT3i_NB0_NJ5_NW1i |   |    1.006     |    1.021     |    1.000     |    1.000     |    1.031     |    1.091     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.002
LT4i_HT03_NB0_NJ5_NW0 |   |    1.001     |    1.021     |    1.000     |    1.000     |    1.087     |    1.019     |    1.001     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT4i_HT03_NB0_NJ5_NW1i |   |    1.003     |    1.044     |    1.000     |    1.000     |    1.066     |    1.045     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT4i_HT3i_NB0_NJ5_NW0 |   |    1.003     |    1.011     |    1.000     |    1.000     |    1.081     |    1.076     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000     |    1.000
LT4i_HT3i_NB0_NJ5_NW1i |   |    1.004     |    1.028     |    1.000     |    1.000     |    1.100     |    1.069     |    1.001     |    1.000     |    1.000     |    1.000     |    1.000     |    1.001
